"aopalliance","aopalliance","1.0","Public Domain"
"classworlds","classworlds","1.1-alpha-2","BSD 3-Clause"
"com.autonomic","logback-test","1.0.0","Autonomic Proprietary 1.0"
"com.fasterxml.jackson.core","jackson-annotations","2.9.0","Apache License, Version 2.0"
"com.fasterxml.jackson.core","jackson-core","2.9.9","Apache License, Version 2.0"
"com.fasterxml.jackson.core","jackson-databind","2.9.9.2","Apache License, Version 2.0"
"com.github.stefanbirkner","system-rules","1.19.0","Common Public License Version 1.0"
"com.google.code.findbugs","jsr305","3.0.2","Apache License, Version 2.0"
"com.google.errorprone","error_prone_annotations","2.2.0","Apache License, Version 2.0"
"com.google.guava","failureaccess","1.0.1","Apache License, Version 2.0"
"com.google.guava","guava","27.0.1-jre","Apache License, Version 2.0"
"com.google.guava","listenablefuture","9999.0-empty-to-avoid-conflict-with-guava","Apache License, Version 2.0"
"com.google.http-client","google-http-client","1.31.0","Apache License, Version 2.0"
"com.google.http-client","google-http-client-apache-v2","1.31.0","Apache License, Version 2.0"
"com.google.inject","guice","4.0","Apache License, Version 2.0"
"com.google.j2objc","j2objc-annotations","1.3","Apache License, Version 2.0"
"commons-codec","commons-codec","1.11","Apache License, Version 2.0"
"commons-io","commons-io","2.2","Apache License, Version 2.0"
"commons-logging","commons-logging","1.2","Apache License, Version 2.0"
"io.grpc","grpc-context","1.19.0","Apache License, Version 2.0"
"io.opencensus","opencensus-api","0.21.0","Apache License, Version 2.0"
"io.opencensus","opencensus-contrib-http-util","0.21.0","Apache License, Version 2.0"
"javax.annotation","jsr250-api","1.0","CDDL 1.1"
"javax.enterprise","cdi-api","1.0","Apache License, Version 2.0"
"javax.inject","javax.inject","1","Apache License, Version 2.0"
"junit","junit","4.12","Eclipse Public License 1.0"
"net.bytebuddy","byte-buddy","1.9.3","Apache License, Version 2.0"
"net.bytebuddy","byte-buddy-agent","1.9.3","Apache License, Version 2.0"
"org.apache.commons","commons-compress","1.18","Apache License, Version 2.0"
"org.apache.commons","commons-lang3","3.5","Apache License, Version 2.0"
"org.apache.httpcomponents","httpclient","4.5.9","Apache License, Version 2.0"
"org.apache.httpcomponents","httpcore","4.4.11","Apache License, Version 2.0"
"org.apache.maven","maven-artifact","3.5.2","Apache License, Version 2.0"
"org.apache.maven","maven-builder-support","3.5.2","Apache License, Version 2.0"
"org.apache.maven","maven-compat","3.5.4","Apache License, Version 2.0"
"org.apache.maven","maven-core","3.5.2","Apache License, Version 2.0"
"org.apache.maven","maven-model","3.5.2","Apache License, Version 2.0"
"org.apache.maven","maven-model-builder","3.5.2","Apache License, Version 2.0"
"org.apache.maven","maven-plugin-api","3.5.2","Apache License, Version 2.0"
"org.apache.maven","maven-repository-metadata","3.5.2","Apache License, Version 2.0"
"org.apache.maven","maven-resolver-provider","3.5.2","Apache License, Version 2.0"
"org.apache.maven","maven-settings","3.5.2","Apache License, Version 2.0"
"org.apache.maven","maven-settings-builder","3.5.2","Apache License, Version 2.0"
"org.apache.maven.plugin-testing","maven-plugin-testing-harness","3.3.0","Apache License, Version 2.0"
"org.apache.maven.plugin-tools","maven-plugin-annotations","3.5","Apache License, Version 2.0"
"org.apache.maven.resolver","maven-resolver-api","1.1.0","Apache License, Version 2.0"
"org.apache.maven.resolver","maven-resolver-impl","1.1.0","Apache License, Version 2.0"
"org.apache.maven.resolver","maven-resolver-spi","1.1.0","Apache License, Version 2.0"
"org.apache.maven.resolver","maven-resolver-util","1.1.0","Apache License, Version 2.0"
"org.apache.maven.shared","maven-shared-utils","3.1.0","Apache License, Version 2.0"
"org.apache.maven.shared","maven-verifier","1.6","Apache License, Version 2.0"
"org.apache.maven.wagon","wagon-provider-api","3.1.0","Apache License, Version 2.0"
"org.checkerframework","checker-qual","2.5.2","MIT-License"
"org.codehaus.mojo","animal-sniffer-annotations","1.17","MIT-License"
"org.codehaus.plexus","plexus-archiver","2.2","Apache License, Version 2.0"
"org.codehaus.plexus","plexus-classworlds","2.5.2","Apache License, Version 2.0"
"org.codehaus.plexus","plexus-component-annotations","1.7.1","Apache License, Version 2.0"
"org.codehaus.plexus","plexus-container-default","1.0-alpha-9-stable-1","Apache License, Version 2.0"
"org.codehaus.plexus","plexus-interpolation","1.24","Apache License, Version 2.0"
"org.codehaus.plexus","plexus-io","2.0.4","Apache License, Version 2.0"
"org.codehaus.plexus","plexus-utils","3.1.0","Apache License, Version 2.0"
"org.eclipse.sisu","org.eclipse.sisu.inject","0.3.3","Eclipse Public License 1.0"
"org.eclipse.sisu","org.eclipse.sisu.plexus","0.3.3","Eclipse Public License 1.0"
"org.hamcrest","hamcrest-core","1.3","BSD 3-Clause"
"org.mockito","mockito-core","2.23.4","MIT-License"
"org.objenesis","objenesis","2.6","Apache License, Version 2.0"
"org.ow2.asm","asm","7.0","BSD 3-Clause"
"org.slf4j","slf4j-api","1.7.25","MIT-License"
"org.sonatype.plexus","plexus-cipher","1.4","Apache License, Version 2.0"
"org.sonatype.plexus","plexus-sec-dispatcher","1.4","Apache License, Version 2.0"
